Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -4.8135      -4.8529       0.0394   305.2
0.0005          -4.8136      -4.8524       0.0388   300.5
0.0010          -4.8135      -4.8522       0.0388   299.9
0.0015          -4.8135      -4.8523       0.0387   299.5
0.0020          -4.8136      -4.8525       0.0389   300.8
0.0025          -4.8136      -4.8527       0.0390   301.9
0.0030          -4.8134      -4.8527       0.0393   303.8
0.0035          -4.8136      -4.8525       0.0389   301.0
0.0040          -4.8134      -4.8521       0.0387   299.3
0.0045          -4.8133      -4.8516       0.0383   296.2
0.0050          -4.8133      -4.8511       0.0378   292.6
0.0055          -4.8133      -4.8507       0.0374   289.1
0.0060          -4.8134      -4.8505       0.0371   286.7
0.0065          -4.8137      -4.8508       0.0371   287.3
0.0070          -4.8137      -4.8517       0.0380   294.0
0.0075          -4.8133      -4.8528       0.0394   305.2
0.0080          -4.8126      -4.8537       0.0411   317.9
0.0085          -4.8126      -4.8542       0.0416   322.1
0.0090          -4.8125      -4.8543       0.0418   323.2
0.0095          -4.8125      -4.8539       0.0414   320.4
0.0100          -4.8130      -4.8535       0.0406   314.0
0.0105          -4.8131      -4.8533       0.0403   311.6
0.0110          -4.8127      -4.8534       0.0407   314.7
0.0115          -4.8121      -4.8537       0.0416   321.6
0.0120          -4.8120      -4.8540       0.0420   324.8
0.0125          -4.8116      -4.8542       0.0426   329.3
0.0130          -4.8117      -4.8542       0.0425   329.1
0.0135          -4.8114      -4.8541       0.0427   330.4
0.0140          -4.8118      -4.8539       0.0421   325.5
0.0145          -4.8121      -4.8535       0.0414   320.7
0.0150          -4.8121      -4.8530       0.0409   316.5
0.0155          -4.8119      -4.8526       0.0407   314.7
0.0160          -4.8115      -4.8525       0.0410   317.5
0.0165          -4.8114      -4.8529       0.0415   321.4
0.0170          -4.8110      -4.8535       0.0425   328.7
0.0175          -4.8105      -4.8540       0.0435   336.3
0.0180          -4.8105      -4.8541       0.0436   337.3
0.0185          -4.8103      -4.8538       0.0435   336.4
0.0190          -4.8106      -4.8536       0.0430   332.5
0.0195          -4.8104      -4.8533       0.0429   332.1
0.0200          -4.8106      -4.8535       0.0429   331.8
0.0205          -4.8109      -4.8539       0.0430   332.9
0.0210          -4.8109      -4.8543       0.0435   336.4
0.0215          -4.8107      -4.8544       0.0437   338.0
0.0220          -4.8107      -4.8542       0.0436   336.9
0.0225          -4.8108      -4.8538       0.0430   332.8
0.0230          -4.8107      -4.8534       0.0427   330.3
0.0235          -4.8107      -4.8529       0.0422   326.4
0.0240          -4.8108      -4.8527       0.0418   323.7
0.0245          -4.8114      -4.8528       0.0414   320.2
0.0250          -4.8111      -4.8530       0.0419   324.2
0.0255          -4.8114      -4.8534       0.0421   325.4
0.0260          -4.8113      -4.8539       0.0426   329.6
0.0265          -4.8113      -4.8540       0.0427   330.5
0.0270          -4.8109      -4.8538       0.0429   331.6
0.0275          -4.8106      -4.8534       0.0428   331.2
0.0280          -4.8110      -4.8528       0.0419   324.0
0.0285          -4.8108      -4.8523       0.0415   321.0
0.0290          -4.8110      -4.8526       0.0415   321.3
0.0295          -4.8114      -4.8533       0.0419   324.0
0.0300          -4.8113      -4.8541       0.0428   331.1
0.0305          -4.8111      -4.8548       0.0437   338.3
0.0310          -4.8110      -4.8550       0.0440   340.4
0.0315          -4.8107      -4.8547       0.0440   340.2
0.0320          -4.8109      -4.8541       0.0432   334.4
0.0325          -4.8106      -4.8536       0.0430   332.3
0.0330          -4.8109      -4.8532       0.0423   327.5
0.0335          -4.8110      -4.8532       0.0421   325.9
0.0340          -4.8114      -4.8535       0.0421   325.6
0.0345          -4.8113      -4.8542       0.0429   331.8
0.0350          -4.8108      -4.8551       0.0443   342.7
0.0355          -4.8108      -4.8558       0.0450   348.0
0.0360          -4.8109      -4.8559       0.0449   347.7
